timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"LABEL"
1500985881763,1267,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,513479,221,1,1,1258,0,40,Meinig School of Biomedical Engineering
1500985883032,704,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,214200,221,1,1,699,0,0,Electrical and Computer Engineering
1500985883737,767,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,280486,221,1,1,760,0,0,Sibley School of Mechanical and Aerospace Engineering
1500985884505,597,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,281068,221,1,1,589,0,1,Smith School of Chemical and Biomolecular Engineering
1500985885102,770,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,213148,221,1,1,764,0,0,Applied and Engineering Physics
1500985885872,683,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,125306,221,1,1,680,0,0,Civil and Environmental Engineering
1500985886555,544,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,153496,221,1,1,540,0,1,Materials Science and Engineering
1500985887098,562,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,85991,221,1,1,560,0,0,Earth and Atmospheric Sciences
1500985887661,222,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,59694,221,1,1,220,0,0,Operations Research and Information Engineering
1500985887883,134,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,48906,221,1,1,133,0,0,Statistical Science
1500985888018,1086,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,513479,221,1,1,1073,0,0,Meinig School of Biomedical Engineering
1500985889105,702,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,214200,221,1,1,696,0,0,Electrical and Computer Engineering
1500985889807,766,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,280486,221,1,1,759,0,0,Sibley School of Mechanical and Aerospace Engineering
1500985890575,625,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,281068,221,1,1,617,0,0,Smith School of Chemical and Biomolecular Engineering
1500985891200,774,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,213148,221,1,1,768,0,0,Applied and Engineering Physics
1500985891974,677,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,125306,221,1,1,675,0,0,Civil and Environmental Engineering
1500985892652,540,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,153496,221,1,1,536,0,0,Materials Science and Engineering
1500985893192,554,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,85991,221,1,1,552,0,0,Earth and Atmospheric Sciences
1500985893747,227,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,59694,221,1,1,226,0,0,Operations Research and Information Engineering
1500985893975,135,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,48906,221,1,1,134,0,0,Statistical Science
1500985894110,1086,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,513479,221,1,1,1063,0,0,Meinig School of Biomedical Engineering
1500985895196,701,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,214200,221,1,1,695,0,0,Electrical and Computer Engineering
1500985895897,767,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,280486,221,1,1,760,0,1,Sibley School of Mechanical and Aerospace Engineering
1500985896665,602,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,281068,221,1,1,594,0,0,Smith School of Chemical and Biomolecular Engineering
1500985897268,774,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,213148,221,1,1,768,0,0,Applied and Engineering Physics
1500985898042,682,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,125306,221,1,1,679,0,1,Civil and Environmental Engineering
