timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"LABEL"
1500985724462,1773,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,340143,222,1,1,1766,0,38,Meinig School of Biomedical Engineering
1500985726237,885,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,153978,222,1,1,881,0,0,Electrical and Computer Engineering
1500985727123,1020,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,186956,222,1,1,1014,0,1,Sibley School of Mechanical and Aerospace Engineering
1500985728143,774,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,184765,222,1,1,768,0,0,Smith School of Chemical and Biomolecular Engineering
1500985728917,971,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,149378,222,1,1,966,0,0,Applied and Engineering Physics
1500985729889,832,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,88638,222,1,1,830,0,1,Civil and Environmental Engineering
1500985730721,603,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,107851,222,1,1,600,0,0,Materials Science and Engineering
1500985731324,667,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,63878,222,1,1,666,0,0,Earth and Atmospheric Sciences
1500985731992,144,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,46601,222,1,1,143,0,0,Operations Research and Information Engineering
1500985732137,100,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,34429,222,1,1,100,0,0,Statistical Science
1500985732238,1675,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,340143,222,1,1,1663,0,0,Meinig School of Biomedical Engineering
1500985733913,864,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,153978,222,1,1,859,0,0,Electrical and Computer Engineering
1500985734776,1003,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,186956,222,1,1,997,0,0,Sibley School of Mechanical and Aerospace Engineering
1500985735779,765,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,184765,222,1,1,760,0,0,Smith School of Chemical and Biomolecular Engineering
1500985736545,966,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,149378,222,1,1,962,0,0,Applied and Engineering Physics
1500985737512,727,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,88638,222,1,1,725,0,0,Civil and Environmental Engineering
1500985738239,601,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,107851,222,1,1,598,0,0,Materials Science and Engineering
1500985738840,679,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,63878,222,1,1,677,0,0,Earth and Atmospheric Sciences
1500985739520,138,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,46601,222,1,1,137,0,1,Operations Research and Information Engineering
1500985739658,100,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,34429,222,1,1,100,0,0,Statistical Science
1500985739759,1682,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,340143,222,1,1,1670,0,0,Meinig School of Biomedical Engineering
1500985741442,832,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,153978,222,1,1,828,0,0,Electrical and Computer Engineering
1500985742274,1017,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,186956,222,1,1,1011,0,1,Sibley School of Mechanical and Aerospace Engineering
1500985743291,775,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,184765,222,1,1,769,0,0,Smith School of Chemical and Biomolecular Engineering
1500985744066,975,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,149378,222,1,1,970,0,0,Applied and Engineering Physics
1500985745042,836,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,88638,222,1,1,833,0,1,Civil and Environmental Engineering
