timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"LABEL"
1500932441410,50059,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,340139,220,1,1,50054,0,39,Meinig School of Biomedical Engineering
1500932491474,48429,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,153974,220,1,1,48426,0,2,Electrical and Computer Engineering
1500932539904,48754,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,186952,220,1,1,48748,0,0,Sibley School of Mechanical and Aerospace Engineering
1500932588658,48353,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,184761,220,1,1,48348,0,1,Smith School of Chemical and Biomolecular Engineering
1500932637013,48648,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,149374,220,1,1,48643,0,1,Applied and Engineering Physics
1500932685661,48190,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,88634,220,1,1,48188,0,1,Civil and Environmental Engineering
1500932733852,48219,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,107847,220,1,1,48216,0,1,Materials Science and Engineering
1500932782072,48032,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,63874,220,1,1,48031,0,0,Earth and Atmospheric Sciences
1500932830106,47756,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,46597,220,1,1,47755,0,0,Operations Research and Information Engineering
1500932877864,47671,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,34425,220,1,1,47671,0,1,Statistical Science
1500932925536,49796,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,340139,220,1,1,49785,0,0,Meinig School of Biomedical Engineering
1500932975333,48335,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,153974,220,1,1,48331,0,1,Electrical and Computer Engineering
1500933023669,48739,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,186952,220,1,1,48734,0,0,Sibley School of Mechanical and Aerospace Engineering
1500933072410,50601,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,184761,220,1,1,50595,0,0,Smith School of Chemical and Biomolecular Engineering
1500933123013,58636,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,149374,220,1,1,58632,0,0,Applied and Engineering Physics
1500933181651,48394,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,88634,220,1,1,48393,0,0,Civil and Environmental Engineering
1500933230047,48257,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,107847,220,1,1,48255,0,0,Materials Science and Engineering
1500933278305,48311,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,63874,220,1,1,48310,0,0,Earth and Atmospheric Sciences
