timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"LABEL"
1501025656722,5018,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,823808,218,1,1,4996,0,36,Meinig School of Biomedical Engineering
1501025661743,5946,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,994888,218,1,1,5929,0,1,Electrical and Computer Engineering
1501025667689,3944,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,740244,218,1,1,3929,0,0,Sibley School of Mechanical and Aerospace Engineering
1501025671634,3205,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,738856,218,1,1,3192,0,0,Smith School of Chemical and Biomolecular Engineering
1501025674840,4776,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,597909,218,1,1,4766,0,0,Applied and Engineering Physics
1501025679616,4778,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,557094,218,1,1,4770,0,0,Civil and Environmental Engineering
1501025684395,4052,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,696067,218,1,1,4041,0,1,Materials Science and Engineering
1501025688446,5207,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,723507,218,1,1,5196,0,1,Earth and Atmospheric Sciences
1501025693654,924,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,213756,218,1,1,921,0,1,Operations Research and Information Engineering
1501025694578,527,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,122960,218,1,1,525,0,0,Statistical Science
1501025695106,4301,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,823808,218,1,1,4286,0,0,Meinig School of Biomedical Engineering
1501025699408,4506,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,994888,218,1,1,4489,0,0,Electrical and Computer Engineering
1501025703915,3706,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,740244,218,1,1,3693,0,0,Sibley School of Mechanical and Aerospace Engineering
