timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"LABEL"
1501025587181,1260,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,513475,217,1,1,1252,0,36,Meinig School of Biomedical Engineering
1501025588441,738,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,214196,217,1,1,733,0,0,Electrical and Computer Engineering
1501025589179,820,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,280482,217,1,1,814,0,0,Sibley School of Mechanical and Aerospace Engineering
1501025589999,630,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,281064,217,1,1,624,0,1,Smith School of Chemical and Biomolecular Engineering
1501025590629,813,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,213144,217,1,1,808,0,0,Applied and Engineering Physics
1501025591443,694,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,125302,217,1,1,692,0,0,Civil and Environmental Engineering
1501025592137,552,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,153492,217,1,1,549,0,1,Materials Science and Engineering
1501025592690,608,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,85987,217,1,1,607,0,0,Earth and Atmospheric Sciences
1501025593299,239,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,59690,217,1,1,238,0,0,Operations Research and Information Engineering
1501025593538,137,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,48902,217,1,1,137,0,0,Statistical Science
1501025593676,1114,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,513475,217,1,1,1102,0,0,Meinig School of Biomedical Engineering
1501025594790,708,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,214196,217,1,1,704,0,1,Electrical and Computer Engineering
1501025595499,803,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,280482,217,1,1,796,0,0,Sibley School of Mechanical and Aerospace Engineering
1501025596302,618,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,281064,217,1,1,612,0,0,Smith School of Chemical and Biomolecular Engineering
1501025596920,802,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,213144,217,1,1,797,0,0,Applied and Engineering Physics
1501025597722,679,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,125302,217,1,1,677,0,0,Civil and Environmental Engineering
1501025598401,553,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,153492,217,1,1,550,0,0,Materials Science and Engineering
1501025598955,586,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,85987,217,1,1,585,0,0,Earth and Atmospheric Sciences
1501025599542,236,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,59690,217,1,1,235,0,0,Operations Research and Information Engineering
