timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"LABEL"
1500926795407,21515,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,509956,221,1,1,21464,0,56,Meinig School of Biomedical Engineering
1500926816925,4389,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,211121,221,1,1,4378,0,1,Electrical and Computer Engineering
1500926821316,7203,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,278476,221,1,1,7192,0,1,Sibley School of Mechanical and Aerospace Engineering
1500926828520,4891,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,277873,221,1,1,4878,0,0,Smith School of Chemical and Biomolecular Engineering
1500926833412,5805,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,211299,221,1,1,5799,0,0,Applied and Engineering Physics
1500926839218,3565,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,123602,221,1,1,3562,0,0,Civil and Environmental Engineering
1500926842784,3024,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,150715,221,1,1,3019,0,0,Materials Science and Engineering
1500926845809,2577,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,83470,221,1,1,2574,0,1,Earth and Atmospheric Sciences
1500926848387,1699,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,58015,221,1,1,1698,0,0,Operations Research and Information Engineering
1500926850088,1645,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,47233,221,1,1,1644,0,0,Statistical Science
1500926851734,14039,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,509956,221,1,1,14025,0,0,Meinig School of Biomedical Engineering
1500926865773,3462,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,211121,221,1,1,3457,0,1,Electrical and Computer Engineering
1500926869235,6586,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,278476,221,1,1,6579,0,0,Sibley School of Mechanical and Aerospace Engineering
1500926875822,4224,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,277873,221,1,1,4216,0,0,Smith School of Chemical and Biomolecular Engineering
1500926880047,5409,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,211299,221,1,1,5404,0,0,Applied and Engineering Physics
1500926885458,3087,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,123602,221,1,1,3085,0,0,Civil and Environmental Engineering
1500926888546,2579,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,150715,221,1,1,2576,0,0,Materials Science and Engineering
1500926891125,2048,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,83470,221,1,1,2046,0,0,Earth and Atmospheric Sciences
