Count  Avg. elapsed  Min. elapsed  Max. elapsed  Avg. bytes  Min. bytes  Max. bytes  Label
   10       16550.4         13184         19665   3479371.0     3479371     3479371  School of Integrative Plant Science
   10        7700.8          6620          8709   1613312.0     1613312     1613312  Molecular Biology and Genetics
   10        4657.5          3720          5492    823812.0      823812      823812  Meinig School of Biomedical Engineering
   10        5690.2          4203          6587   1169525.0     1169525     1169525  Ecology and Evolutionary Biology
   10        4808.4          4179          5589    993075.0      993075      993075  Food Science
   10        3482.2          3059          3989    737683.0      737683      737683  Animal Science
   10        4253.5          3596          5097    740248.0      740248      740248  Sibley School of Mechanical and Aerospace Engineering
   10        4628.8          3948          5250    876987.0      876987      876987  Natural Resources
   10        3695.7          3210          4234    731546.0      731546      731546  Entomology
   10        5121.2          4515          6183    994892.0      994892      994892  Electrical and Computer Engineering
