Count  Avg. elapsed  Min. elapsed  Max. elapsed  Avg. bytes  Min. bytes  Max. bytes  Label
   10       15340.1         15021         16099   3479367.0     3479367     3479367  School of Integrative Plant Science
   10        6736.2          6459          7214   1613308.0     1613308     1613308  Molecular Biology and Genetics
   10        4158.8          3776          4473    823808.0      823808      823808  Meinig School of Biomedical Engineering
   10        5044.3          4962          5274   1169521.0     1169521     1169521  Ecology and Evolutionary Biology
   10        4288.6          3930          4683    993071.0      993071      993071  Food Science
   10        3054.1          2835          3243    737679.0      737679      737679  Animal Science
   10        3848.4          3703          4107    740244.0      740244      740244  Sibley School of Mechanical and Aerospace Engineering
   10        3998.3          3687          4254    876983.0      876983      876983  Natural Resources
   10        3158.4          2926          3285    731542.0      731542      731542  Entomology
   10        4682.0          4532          5620    994888.0      994888      994888  Electrical and Computer Engineering
