Count  Avg. elapsed  Min. elapsed  Max. elapsed  Avg. bytes  Min. bytes  Max. bytes  Label
   10       55439.8         50036         60237    847447.0      847447      847447  School of Integrative Plant Science
   10       54182.3         49014         60574    556086.0      556086      556086  Molecular Biology and Genetics
   10       52927.0         48071         59953    340139.0      340139      340139  Meinig School of Biomedical Engineering
   10       52319.0         47326         58341    291576.0      291576      291576  Ecology and Evolutionary Biology
   10       52643.7         47636         61504    320943.0      320943      320943  Food Science
   10       51610.8         47226         57818    267922.0      267922      267922  Animal Science
   10       51068.7         46851         57683    186952.0      186952      186952  Sibley School of Mechanical and Aerospace Engineering
   10       50992.9         46434         58655    175698.0      175698      175698  Natural Resources
   10       50954.0         46792         57661    186663.0      186663      186663  Entomology
   10       51162.4         46436         57007    153974.0      153974      153974  Electrical and Computer Engineering
