timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"LABEL"
1500842186607,1447,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,513479,221,1,1,1442,0,62,Meinig School of Biomedical Engineering
1500842188056,766,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,214200,221,1,1,761,0,0,Electrical and Computer Engineering
1500842188823,852,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,280486,221,1,1,845,0,1,Sibley School of Mechanical and Aerospace Engineering
1500842189676,611,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,281068,221,1,1,604,0,0,Smith School of Chemical and Biomolecular Engineering
1500842190288,775,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,213148,221,1,1,770,0,0,Applied and Engineering Physics
1500842191063,750,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,125306,221,1,1,747,0,1,Civil and Environmental Engineering
1500842191813,587,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,153496,221,1,1,583,0,0,Materials Science and Engineering
1500842192400,801,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,85991,221,1,1,799,0,0,Earth and Atmospheric Sciences
1500842193202,240,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,59694,221,1,1,239,0,0,Operations Research and Information Engineering
1500842193442,152,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,48906,221,1,1,152,0,0,Statistical Science
1500842193595,1223,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,513479,221,1,1,1211,0,0,Meinig School of Biomedical Engineering
1500842194819,731,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,214200,221,1,1,726,0,0,Electrical and Computer Engineering
1500842195551,819,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,280486,221,1,1,812,0,0,Sibley School of Mechanical and Aerospace Engineering
1500842196370,611,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,281068,221,1,1,604,0,0,Smith School of Chemical and Biomolecular Engineering
1500842196981,778,Get WordCloud data,200,OK,The thread Group 1-1,text,true,,213148,221,1,1,772,0,0,Applied and Engineering Physics
