timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"LABEL"
1501040747964,4572,Get data,200,OK,The thread Group 1-1,text,true,,999110,226,1,1,4557,0,39,Electrical and Computer Engineering
1501040752537,3674,Get data,200,OK,The thread Group 1-1,text,true,,728622,226,1,1,3657,0,2,Materials Science and Engineering
1501040756212,2765,Get data,200,OK,The thread Group 1-1,text,true,,653772,226,1,1,2753,0,0,Meinig School of Biomedical Engineering
1501040758977,2614,Get data,200,OK,The thread Group 1-1,text,true,,591950,226,1,1,2603,0,0,Civil and Environmental Engineering
1501040761593,2999,Get data,200,OK,The thread Group 1-1,text,true,,706102,226,1,1,2985,0,0,Smith School of Chemical and Biomolecular Engineering 
1501040764593,2994,Get data,200,OK,The thread Group 1-1,text,true,,717728,226,1,1,2981,0,1,Sibley School of Mechanical and Aerospace Engineering
1501040767588,2371,Get data,200,OK,The thread Group 1-1,text,true,,564064,226,1,1,2361,0,0,Applied and Engineering Physics
1501040769959,3551,Get data,200,OK,The thread Group 1-1,text,true,,796383,226,1,1,3535,0,1,Earth and Atmospheric Sciences
1501040773511,3067,Get data,200,OK,The thread Group 1-1,text,true,,680832,226,1,1,3052,0,0,Samuel Curtis Johnson Graduate School of Management
1501040776579,913,Get data,200,OK,The thread Group 1-1,text,true,,178252,226,1,1,909,0,0,Office of the Dean of Engineering
1501040777492,4419,Get data,200,OK,The thread Group 1-1,text,true,,999110,226,1,1,4399,0,0,Electrical and Computer Engineering
1501040781911,3114,Get data,200,OK,The thread Group 1-1,text,true,,728622,226,1,1,3100,0,1,Materials Science and Engineering
1501040785025,2740,Get data,200,OK,The thread Group 1-1,text,true,,653772,226,1,1,2725,0,1,Meinig School of Biomedical Engineering
1501040787766,3070,Get data,200,OK,The thread Group 1-1,text,true,,591950,226,1,1,3054,0,0,Civil and Environmental Engineering
1501040790837,2917,Get data,200,OK,The thread Group 1-1,text,true,,706102,226,1,1,2904,0,1,Smith School of Chemical and Biomolecular Engineering 
1501040793754,2923,Get data,200,OK,The thread Group 1-1,text,true,,717728,226,1,1,2909,0,1,Sibley School of Mechanical and Aerospace Engineering
1501040796677,2343,Get data,200,OK,The thread Group 1-1,text,true,,564064,226,1,1,2331,0,0,Applied and Engineering Physics
1501040799021,3617,Get data,200,OK,The thread Group 1-1,text,true,,796383,226,1,1,3601,0,0,Earth and Atmospheric Sciences
1501040802638,2561,Get data,200,OK,The thread Group 1-1,text,true,,680832,226,1,1,2547,0,1,Samuel Curtis Johnson Graduate School of Management
1501040805199,661,Get data,200,OK,The thread Group 1-1,text,true,,178252,226,1,1,658,0,0,Office of the Dean of Engineering
1501040805861,4417,Get data,200,OK,The thread Group 1-1,text,true,,999110,226,1,1,4399,0,0,Electrical and Computer Engineering
1501040810278,3117,Get data,200,OK,The thread Group 1-1,text,true,,728622,226,1,1,3104,0,1,Materials Science and Engineering
1501040813395,2751,Get data,200,OK,The thread Group 1-1,text,true,,653772,226,1,1,2731,0,1,Meinig School of Biomedical Engineering
1501040816146,2595,Get data,200,OK,The thread Group 1-1,text,true,,591950,226,1,1,2585,0,1,Civil and Environmental Engineering
1501040818743,2865,Get data,200,OK,The thread Group 1-1,text,true,,706102,226,1,1,2852,0,0,Smith School of Chemical and Biomolecular Engineering 
1501040821610,2940,Get data,200,OK,The thread Group 1-1,text,true,,717728,226,1,1,2927,0,0,Sibley School of Mechanical and Aerospace Engineering
1501040824550,2449,Get data,200,OK,The thread Group 1-1,text,true,,564064,226,1,1,2438,0,0,Applied and Engineering Physics
1501040826999,3461,Get data,200,OK,The thread Group 1-1,text,true,,796383,226,1,1,3445,0,1,Earth and Atmospheric Sciences
1501040830460,2618,Get data,200,OK,The thread Group 1-1,text,true,,680832,226,1,1,2603,0,1,Samuel Curtis Johnson Graduate School of Management
1501040833078,657,Get data,200,OK,The thread Group 1-1,text,true,,178252,226,1,1,654,0,1,Office of the Dean of Engineering
1501040833736,4583,Get data,200,OK,The thread Group 1-1,text,true,,999110,226,1,1,4561,0,0,Electrical and Computer Engineering
1501040838320,3217,Get data,200,OK,The thread Group 1-1,text,true,,728622,226,1,1,3201,0,1,Materials Science and Engineering
1501040841537,2839,Get data,200,OK,The thread Group 1-1,text,true,,653772,226,1,1,2825,0,0,Meinig School of Biomedical Engineering
1501040844378,2686,Get data,200,OK,The thread Group 1-1,text,true,,591950,226,1,1,2675,0,2,Civil and Environmental Engineering
1501040847065,2967,Get data,200,OK,The thread Group 1-1,text,true,,706102,226,1,1,2952,0,0,Smith School of Chemical and Biomolecular Engineering 
1501040850033,3196,Get data,200,OK,The thread Group 1-1,text,true,,717728,226,1,1,3183,0,1,Sibley School of Mechanical and Aerospace Engineering
1501040853231,2219,Get data,200,OK,The thread Group 1-1,text,true,,564064,226,1,1,2209,0,0,Applied and Engineering Physics
1501040855450,3384,Get data,200,OK,The thread Group 1-1,text,true,,796383,226,1,1,3367,0,1,Earth and Atmospheric Sciences
1501040858834,2657,Get data,200,OK,The thread Group 1-1,text,true,,680832,226,1,1,2645,0,1,Samuel Curtis Johnson Graduate School of Management
1501040861492,679,Get data,200,OK,The thread Group 1-1,text,true,,178252,226,1,1,675,0,0,Office of the Dean of Engineering
1501040862171,4330,Get data,200,OK,The thread Group 1-1,text,true,,999110,226,1,1,4311,0,0,Electrical and Computer Engineering
1501040866501,2971,Get data,200,OK,The thread Group 1-1,text,true,,728622,226,1,1,2957,0,0,Materials Science and Engineering
1501040869472,2558,Get data,200,OK,The thread Group 1-1,text,true,,653772,226,1,1,2546,0,0,Meinig School of Biomedical Engineering
1501040872031,2761,Get data,200,OK,The thread Group 1-1,text,true,,591950,226,1,1,2747,0,0,Civil and Environmental Engineering
1501040874793,2999,Get data,200,OK,The thread Group 1-1,text,true,,706102,226,1,1,2986,0,0,Smith School of Chemical and Biomolecular Engineering 
1501040877793,3176,Get data,200,OK,The thread Group 1-1,text,true,,717728,226,1,1,3160,0,0,Sibley School of Mechanical and Aerospace Engineering
1501040880970,2515,Get data,200,OK,The thread Group 1-1,text,true,,564064,226,1,1,2501,0,1,Applied and Engineering Physics
1501040883486,3714,Get data,200,OK,The thread Group 1-1,text,true,,796383,226,1,1,3696,0,0,Earth and Atmospheric Sciences
1501040887200,2940,Get data,200,OK,The thread Group 1-1,text,true,,680832,226,1,1,2923,0,0,Samuel Curtis Johnson Graduate School of Management
1501040890142,772,Get data,200,OK,The thread Group 1-1,text,true,,178252,226,1,1,769,0,0,Office of the Dean of Engineering
1501040890915,5063,Get data,200,OK,The thread Group 1-1,text,true,,999110,226,1,1,5042,0,0,Electrical and Computer Engineering
1501040895978,3405,Get data,200,OK,The thread Group 1-1,text,true,,728622,226,1,1,3390,0,1,Materials Science and Engineering
1501040899383,2632,Get data,200,OK,The thread Group 1-1,text,true,,653772,226,1,1,2620,0,1,Meinig School of Biomedical Engineering
1501040902015,2580,Get data,200,OK,The thread Group 1-1,text,true,,591950,226,1,1,2570,0,1,Civil and Environmental Engineering
1501040904596,2829,Get data,200,OK,The thread Group 1-1,text,true,,706102,226,1,1,2816,0,0,Smith School of Chemical and Biomolecular Engineering 
1501040907425,2909,Get data,200,OK,The thread Group 1-1,text,true,,717728,226,1,1,2897,0,1,Sibley School of Mechanical and Aerospace Engineering
1501040910335,2674,Get data,200,OK,The thread Group 1-1,text,true,,564064,226,1,1,2662,0,1,Applied and Engineering Physics
1501040913009,4003,Get data,200,OK,The thread Group 1-1,text,true,,796383,226,1,1,3987,0,0,Earth and Atmospheric Sciences
1501040917012,3146,Get data,200,OK,The thread Group 1-1,text,true,,680832,226,1,1,3130,0,1,Samuel Curtis Johnson Graduate School of Management
1501040920160,934,Get data,200,OK,The thread Group 1-1,text,true,,178252,226,1,1,931,0,0,Office of the Dean of Engineering
1501040921095,4716,Get data,200,OK,The thread Group 1-1,text,true,,999110,226,1,1,4697,0,0,Electrical and Computer Engineering
1501040925811,3157,Get data,200,OK,The thread Group 1-1,text,true,,728622,226,1,1,3144,0,0,Materials Science and Engineering
1501040928969,2837,Get data,200,OK,The thread Group 1-1,text,true,,653772,226,1,1,2822,0,0,Meinig School of Biomedical Engineering
1501040931806,2558,Get data,200,OK,The thread Group 1-1,text,true,,591950,226,1,1,2547,0,1,Civil and Environmental Engineering
1501040934364,3172,Get data,200,OK,The thread Group 1-1,text,true,,706102,226,1,1,3156,0,1,Smith School of Chemical and Biomolecular Engineering 
1501040937537,3257,Get data,200,OK,The thread Group 1-1,text,true,,717728,226,1,1,3241,0,0,Sibley School of Mechanical and Aerospace Engineering
1501040940795,2728,Get data,200,OK,The thread Group 1-1,text,true,,564064,226,1,1,2715,0,1,Applied and Engineering Physics
1501040943525,3603,Get data,200,OK,The thread Group 1-1,text,true,,796383,226,1,1,3588,0,0,Earth and Atmospheric Sciences
1501040947128,2607,Get data,200,OK,The thread Group 1-1,text,true,,680832,226,1,1,2594,0,1,Samuel Curtis Johnson Graduate School of Management
1501040949735,683,Get data,200,OK,The thread Group 1-1,text,true,,178252,226,1,1,680,0,0,Office of the Dean of Engineering
1501040950418,4470,Get data,200,OK,The thread Group 1-1,text,true,,999110,226,1,1,4452,0,0,Electrical and Computer Engineering
1501040954890,3193,Get data,200,OK,The thread Group 1-1,text,true,,728622,226,1,1,3174,0,0,Materials Science and Engineering
1501040958083,2795,Get data,200,OK,The thread Group 1-1,text,true,,653772,226,1,1,2782,0,0,Meinig School of Biomedical Engineering
1501040960878,2664,Get data,200,OK,The thread Group 1-1,text,true,,591950,226,1,1,2653,0,0,Civil and Environmental Engineering
1501040963542,3289,Get data,200,OK,The thread Group 1-1,text,true,,706102,226,1,1,3273,0,1,Smith School of Chemical and Biomolecular Engineering 
1501040966832,3242,Get data,200,OK,The thread Group 1-1,text,true,,717728,226,1,1,3228,0,0,Sibley School of Mechanical and Aerospace Engineering
1501040970075,2319,Get data,200,OK,The thread Group 1-1,text,true,,564064,226,1,1,2308,0,0,Applied and Engineering Physics
1501040972395,3321,Get data,200,OK,The thread Group 1-1,text,true,,796383,226,1,1,3306,0,0,Earth and Atmospheric Sciences
