timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"LABEL"
1501107182161,21295,Get data,200,OK,The thread Group 1-1,text,true,,2830800,222,1,1,21251,0,36,School of Integrative Plant Science                        
1501107203458,19619,Get data,200,OK,The thread Group 1-1,text,true,,1277336,222,1,1,19602,0,2,Molecular Biology and Genetics                             
1501107223077,19376,Get data,200,OK,The thread Group 1-1,text,true,,1026700,222,1,1,19362,0,0,Ecology and Evolutionary Biology                           
1501107242454,19762,Get data,200,OK,The thread Group 1-1,text,true,,957857,222,1,1,19750,0,1,Electrical and Computer Engineering                        
1501107262217,20906,Get data,200,OK,The thread Group 1-1,text,true,,793051,222,1,1,20896,0,0,Natural Resources                                          
1501107283125,20846,Get data,200,OK,The thread Group 1-1,text,true,,782460,222,1,1,20836,0,0,Food Science                                               
1501107303973,20930,Get data,200,OK,The thread Group 1-1,text,true,,767593,222,1,1,20920,0,0,Earth and Atmospheric Sciences                             
1501107324903,20826,Get data,200,OK,The thread Group 1-1,text,true,,666375,222,1,1,20816,0,0,Charles H. Dyson School of Applied Economics and Management
1501107345729,21139,Get data,200,OK,The thread Group 1-1,text,true,,701815,222,1,1,21129,0,1,Materials Science and Engineering                          
1501107366868,20867,Get data,200,OK,The thread Group 1-1,text,true,,658084,222,1,1,20858,0,0,Entomology                                                 
1501107387737,21216,Get data,200,OK,The thread Group 1-1,text,true,,2830800,222,1,1,21180,0,0,School of Integrative Plant Science                        
1501107408953,20852,Get data,200,OK,The thread Group 1-1,text,true,,1277336,222,1,1,20835,0,0,Molecular Biology and Genetics                             
1501107429807,20946,Get data,200,OK,The thread Group 1-1,text,true,,1026700,222,1,1,20931,0,0,Ecology and Evolutionary Biology                           
1501107450754,20901,Get data,200,OK,The thread Group 1-1,text,true,,957857,222,1,1,20888,0,0,Electrical and Computer Engineering                        
1501107471656,20863,Get data,200,OK,The thread Group 1-1,text,true,,793051,222,1,1,20853,0,1,Natural Resources                                          
1501107492520,20842,Get data,200,OK,The thread Group 1-1,text,true,,782460,222,1,1,20831,0,0,Food Science                                               
1501107513363,20933,Get data,200,OK,The thread Group 1-1,text,true,,767593,222,1,1,20923,0,0,Earth and Atmospheric Sciences                             
1501107534298,20718,Get data,200,OK,The thread Group 1-1,text,true,,666375,222,1,1,20709,0,0,Charles H. Dyson School of Applied Economics and Management
1501107555016,20940,Get data,200,OK,The thread Group 1-1,text,true,,701815,222,1,1,20931,0,1,Materials Science and Engineering                          
1501107575958,20824,Get data,200,OK,The thread Group 1-1,text,true,,658084,222,1,1,20815,0,1,Entomology                                                 
