Count  Avg. elapsed  Min. elapsed  Max. elapsed  Avg. bytes  Min. bytes  Max. bytes  Label
   10       21245.0         21207         21302   2830800.0     2830800     2830800  School of Integrative Plant Science                        
   10       20787.8         19619         21036   1277336.0     1277336     1277336  Molecular Biology and Genetics                             
   10       20755.1         19376         21042   1026700.0     1026700     1026700  Ecology and Evolutionary Biology                           
   10       20727.7         19762         20937    957857.0      957857      957857  Electrical and Computer Engineering                        
   10       20844.2         20768         20906    793051.0      793051      793051  Natural Resources                                          
   10       21117.3         20842         23357    782460.0      782460      782460  Food Science                                               
   10       21070.5         20841         22536    767593.0      767593      767593  Earth and Atmospheric Sciences                             
   10       20744.6         20631         20894    666375.0      666375      666375  Charles H. Dyson School of Applied Economics and Management
   10       20977.7         20891         21172    701815.0      701815      701815  Materials Science and Engineering                          
   10       20813.7         20770         20867    658084.0      658084      658084  Entomology                                                 
