timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"LABEL"
1501109275287,2182,Get data,200,OK,The thread Group 1-1,text,true,,2836073,222,1,1,2145,0,37,School of Integrative Plant Science                        
1501109277471,637,Get data,200,OK,The thread Group 1-1,text,true,,1278283,222,1,1,619,0,1,Molecular Biology and Genetics                             
1501109278108,523,Get data,200,OK,The thread Group 1-1,text,true,,1027766,222,1,1,508,0,0,Ecology and Evolutionary Biology                           
1501109278631,532,Get data,200,OK,The thread Group 1-1,text,true,,959235,222,1,1,519,0,0,Electrical and Computer Engineering                        
1501109279163,532,Get data,200,OK,The thread Group 1-1,text,true,,794119,222,1,1,521,0,0,Natural Resources                                          
1501109279695,479,Get data,200,OK,The thread Group 1-1,text,true,,784546,222,1,1,469,0,1,Food Science                                               
1501109280176,542,Get data,200,OK,The thread Group 1-1,text,true,,768724,222,1,1,529,0,0,Earth and Atmospheric Sciences                             
1501109280719,776,Get data,200,OK,The thread Group 1-1,text,true,,669334,222,1,1,767,0,0,Charles H. Dyson School of Applied Economics and Management
1501109281495,402,Get data,200,OK,The thread Group 1-1,text,true,,703137,222,1,1,392,0,0,Materials Science and Engineering                          
1501109281897,341,Get data,200,OK,The thread Group 1-1,text,true,,658591,222,1,1,332,0,0,Entomology                                                 
1501109282239,1986,Get data,200,OK,The thread Group 1-1,text,true,,2836073,222,1,1,1939,0,0,School of Integrative Plant Science                        
1501109284225,627,Get data,200,OK,The thread Group 1-1,text,true,,1278283,222,1,1,609,0,1,Molecular Biology and Genetics                             
1501109284852,518,Get data,200,OK,The thread Group 1-1,text,true,,1027766,222,1,1,504,0,0,Ecology and Evolutionary Biology                           
1501109285370,542,Get data,200,OK,The thread Group 1-1,text,true,,959235,222,1,1,529,0,0,Electrical and Computer Engineering                        
1501109285913,511,Get data,200,OK,The thread Group 1-1,text,true,,794119,222,1,1,500,0,0,Natural Resources                                          
1501109286424,457,Get data,200,OK,The thread Group 1-1,text,true,,784546,222,1,1,446,0,1,Food Science                                               
1501109286881,526,Get data,200,OK,The thread Group 1-1,text,true,,768724,222,1,1,515,0,0,Earth and Atmospheric Sciences                             
1501109287407,646,Get data,200,OK,The thread Group 1-1,text,true,,669334,222,1,1,637,0,0,Charles H. Dyson School of Applied Economics and Management
1501109288053,401,Get data,200,OK,The thread Group 1-1,text,true,,703137,222,1,1,391,0,0,Materials Science and Engineering                          
1501109288454,340,Get data,200,OK,The thread Group 1-1,text,true,,658591,222,1,1,331,0,0,Entomology                                                 
1501109288794,1973,Get data,200,OK,The thread Group 1-1,text,true,,2836073,222,1,1,1925,0,0,School of Integrative Plant Science                        
1501109290768,620,Get data,200,OK,The thread Group 1-1,text,true,,1278283,222,1,1,603,0,1,Molecular Biology and Genetics                             
1501109291389,499,Get data,200,OK,The thread Group 1-1,text,true,,1027766,222,1,1,484,0,0,Ecology and Evolutionary Biology                           
1501109291888,536,Get data,200,OK,The thread Group 1-1,text,true,,959235,222,1,1,523,0,0,Electrical and Computer Engineering                        
1501109292424,501,Get data,200,OK,The thread Group 1-1,text,true,,794119,222,1,1,489,0,0,Natural Resources                                          
1501109292925,462,Get data,200,OK,The thread Group 1-1,text,true,,784546,222,1,1,452,0,0,Food Science                                               
1501109293388,524,Get data,200,OK,The thread Group 1-1,text,true,,768724,222,1,1,514,0,0,Earth and Atmospheric Sciences                             
